"Número de artículo","Descripción del artículo","Grupo de artículos","Unidad de medida de inventario"
".ACC/WT-0323","TUBING DE 3/8  0,35","INSUMOS DE WT",""
"10000000","HIDROSTATIC BAILER","ACTIVOS DE SL",""
"100ML5","EJECTOR 1 3/8""  100 CC","ACTIVOS DE ADQ INFO",""
"100ML6","EJECTOR 1 3/8""  100 CC","ACTIVOS DE ADQ INFO",""
"100ML7","EJECTOR 1 3/8""  100 CC","ACTIVOS DE ADQ INFO",""
"100ML8","EJECTOR 1 3/8""  100 CC","ACTIVOS DE ADQ INFO",""
"103000000","LUBRICADOR (NO UTILIZAR)","ACTIVOS DE SL",""
"103000000.","LUBRICADOR.","ACTIVOS DE SL",""
"104000001","GUARDA MANGUERA RETRACTIL DE 3/8""","ACTIVOS DE SL",""
"105000000","MAGNETS","ACTIVOS DE SL",""
"106000000","QUICK CONNECTION FEMALE / MALE","ACTIVOS DE SL",""
"108000000","EXTENSIONES ( NO UTILIZAR)","ACTIVOS DE SL",""
"108000000.","EXTENSIONES.","ACTIVOS DE SL",""
"109000000","SETTING NIPPLE F","ACTIVOS DE SL",""
"111000000","OVER SHOT","ACTIVOS DE SL",""
"112000000","SLICK LINE TRUCK WITH CRANE","ACTIVOS DE SL",""
"113000000","NEW TRUCK MOUNTED CT UNIT","ACTIVOS DE CT",""
"114000000","NEW TRUCK MOUNTED NITROGEN","ACTIVOS DE CT",""
"115000000","NEW TRUCK MOUNTED TRIPLEX PUMP","ACTIVOS DE CT",""
"116000000","SLICK LINE COUNTER WHEEL","ACTIVOS DE SL",""
"117000000","KICKOVER OM-5","ACTIVOS DE SL",""
"118000000","STANDING VALVE FB-2 BAKER","ACTIVOS DE SL",""
"119000000","STANDING VALVE RB-2 BAKER","ACTIVOS DE SL",""
"12000000","BLIND BOX","ACTIVOS DE SL",""
"120000000","PARAFIN CUTTER","ACTIVOS DE SL",""
"121000000","MECHANICAL SPANG JAR","ACTIVOS DE SL",""
"122000000","SWEDGE","ACTIVOS DE SL",""
"123000000","BOP 5K 3"" TYPE B SINGLE MANUAL FOR 7/32""","ACTIVOS DE SL",""
"124000000","HAND PUMP C/W","ACTIVOS DE SL",""
"125000000","TOOL TRAP 5K 4"" TYPE B HYDRAULIC","ACTIVOS DE SL",""
"126000000","SHEAVE STUFFING BOX 16""","ACTIVOS DE SL",""
"127000000","SHEAVE SLICKLINE FLOOR 16""","ACTIVOS DE SL",""
"128000000","SHEAVE HANGER / LIFTING PLATE 10K","ACTIVOS DE SL",""
"129000000","GH 5K TYPE B 4 SECTION SINGLE PORT INJECTION","ACTIVOS DE SL",""
"130000000","LWPO 5K 3"" TYPE B DRESSED FOR 7/32""","ACTIVOS DE SL",""
"131000000","SHEAVE 17"" ELINE FOR 5/16"" LINE","ACTIVOS DE SL",""
"132000000","HEAD CATCHER 5K 3"" TYPE B      01 - 0","ACTIVOS DE SL",""
"133000000","LUB LIFTING CLAMP 3.5"" OD","ACTIVOS DE SL",""
"134000000","CENTER SPEAR","ACTIVOS DE SL",""
"135000000","TUBING CENTER","ACTIVOS DE SL",""
"136000000","CAP","ACTIVOS DE SL",""
"139000000","B. PROBE","ACTIVOS DE SL",""
"142000000","M1-PROBE","ACTIVOS DE SL",""
"143000000","PRONG","ACTIVOS DE SL",""
"161000000","PULLING TOOL GS","ACTIVOS DE SL",""
"164000000","GU ADAPTER","ACTIVOS DE SL",""
"166000000","PULLING TOOL  JDC","ACTIVOS DE SL",""
"170000000","PULLING TOOL JUC","ACTIVOS DE SL",""
"171000000","PULLING TOOL SSJ ESPECIAL","ACTIVOS DE SL",""
"172000000","PULLING TOOL RB","ACTIVOS DE SL",""
"173000000","PULLING TOOL SB","ACTIVOS DE SL",""
"174000001","PULLING TOOL FRC - GLV","ACTIVOS DE SL",""
"174000002","PULLING TOOL FRC - GLV","ACTIVOS DE SL",""
"174000003","PULLING TOOL PEAK DJD  FRC - GLV","ACTIVOS DE SL",""
